periode_data,bulan,wilayah,kecamatan,kelurahan,jumlah_rata_rata_ketinggian_air,jumlah_rw_terdampak,jumlah_kk_terdampak,jumlah_jiwa_terdampak,jumlah_kejadian,jumlah_korban_meninggal,jumlah_korban_luka,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian
202309,07,Jakarta Utara,Penjaringan,Pluit,10 s.d 15 cm,1,0,0,1,0,0,0,0,0
202309,07,Jakarta Utara,Cilincing,Marunda,10 cm,1,0,0,1,0,0,0,0,0
202309,07,Jakarta Selatan,Kebayoran Lama,Kramat Pela,30 cm,1,0,0,1,0,0,0,0,0
202309,07,Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,50 cm,1,0,0,1,0,0,0,0,0
202309,07,Jakarta Selatan,Mampang Prapatan,Kuningan Barat,60 cm,1,0,0,1,0,0,0,0,0
202309,07,Jakarta Selatan,Mampang Prapatan,Pela Mampang,70 cm,2,0,0,1,0,0,0,0,0
202309,09,-,-,-,-,-,-,-,-,-,-,-,-,-
202309,07,Jakarta Selatan,Pancoran,Kalibata,30 cm,1,0,0,1,0,0,0,0,0
202309,07,Jakarta Selatan,Pancoran,Pancoran,80 cm,1,0,0,1,0,0,0,0,0
202309,07,Jakarta Selatan,Pasar Minggu,Cilandak Timur,30 s.d 55 cm,1,0,0,1,0,0,0,0,0
202309,07,Jakarta Selatan,Pasar Minggu,Jati Padang,50 cm,2,0,0,1,0,0,0,0,0
202309,07,Jakarta Selatan,Pasar Minggu,Ragunan,40 cm,1,0,0,1,0,0,0,0,0
202309,08,-,-,-,-,-,-,-,-,-,-,-,-,-
202309,07,Jakarta Selatan,Pancoran,Duren Tiga,30 cm,1,0,0,1,0,0,0,0,0
202306,6,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,30 S.D 50 CM,1,0,0,1,0,0,0,0,0
202306,6,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,30 S.D 50 CM,2,0,0,1,0,0,0,0,0
202306,6,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,30 S.D 90 CM,4,0,0,1,0,0,0,0,0
202306,6,JAKARTA TIMUR,KRAMAT JATI,CAWANG,50 S.D 100 CM,1,0,0,1,0,0,0,0,0
202306,6,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,40 S.D 80 CM,1,0,0,1,0,0,0,0,0
202306,4,JAKARTA PUSAT,nihil,nihil,0,0,0,0,0,0,0,0,0,0
202306,4,JAKARTA UTARA,nihil,nihil,0,0,0,0,0,0,0,0,0,0
202306,4,JAKARTA BARAT,PASAR MINGGU,CILANDAK TIMUR,60 cm S.D 80 cm,1,0,0,1,0,0,0,0,0
202306,4,JAKARTA BARAT,JAGAKARSA,SRENGSENG SAWAH,60 cm,1,0,0,1,0,0,0,0,0
